categories,subcategories,items,description,notes
0,0B,0B001.c.3.,"Compressors or gas blowers with a suction volume capacity of 1 m3/min or more of UF6, with a discharge pressure up to 500 kPa, and having a pressure ratio of 10:1 or less, and made of or protected by ""materials resistant to corrosion by UF6"";",
0,0B,0B001.c.4.,Rotary shaft seals for compressors or blowers specified in 0B001.c.3. and designed for a buffer gas in-leakage rate of less than 1 000 cm3/min.;,
0,0B,0B001.c.5.,"Heat exchangers made of or protected by ""materials resistant to corrosion by UF6"", and designed for a leakage pressure rate of less than 10 Pa per hour under a pressure differential of 100 kPa;",
0,0B,0B001.c.6.,"Bellows-sealed valves, manual or automated, shut-off or control, made of or protected by ""materials resistant to corrosion by UF6"";",
0,0B,0B001.d.,"Equipment and components, specially designed or prepared for aerodynamic separation process, as follows:",
0,0B,0B001.d.1.,"Separation nozzles consisting of slit-shaped, curved channels having a radius of curvature less than 1 mm, resistant to corrosion by UF6, and having a knife-edge contained within the nozzle which separates the gas flowing through the nozzle into two streams;",
0,0B,0B001.d.2.,"Cylindrical or conical tubes, (vortex tubes), made of or protected by ""materials resistant to corrosion by UF6"" and with one or more tangential inlets;",
0,0B,0B001.d.3.,"Compressors or gas blowers made of or protected by ""materials resistant to corrosion by UF6"", and rotary shaft seals therefor;",
0,0B,0B001.d.4.,"Heat exchangers made of or protected by ""materials resistant to corrosion by UF6"";",
0,0B,0B001.d.5.,"Separation element housings, made of or protected by ""materials resistant to corrosion by UF6"" to contain vortex tubes or separation nozzles;",
0,0B,0B001.d.6.,"Bellows-sealed valves, manual or automated, shut-off or control, made of or protected by ""materials resistant to corrosion by UF6"", with a diameter of 40 mm or more;",
0,0B,0B001.d.7.,"Process systems for separating UF6 from carrier gas (hydrogen or helium) to 1 ppm UF6 content or less, including:",
0,0B,0B001.d.7.a.,Cryogenic heat exchangers and cryoseparators capable of temperatures of 153K (-120oC) or less;,
0,0B,0B001.d.7.b.,Cryogenic refrigeration units capable of temperatures of 153 K (-120oC) or less;,
0,0B,0B001.d.7.c.,Separation nozzle or vortex tube units for the separation of UF6 from carrier gas;,
0,0B,0B001.d.7.d.,UF6 cold traps capable of freezing out UF6;,
0,0B,0B001.e.,"Equipment and components, specially designed or prepared for chemical exchange separation process, as follows:",
0,0B,0B001.e.1.,Fast-exchange liquid-liquid pulse columns with stage residence time of 30 s or less and resistant to concentrated hydrochloric acid (e.g. made of or protected by suitable plastic materials such as fluorinated hydrocarbon polymers or glass);,
0,0B,0B001.e.2.,Fast-exchange liquid-liquid centrifugal contactors with stage residence time of 30 s or less and resistant to concentrated hydrochloric acid (e.g. made of or protected by suitable plastic materials such as fluorinated hydrocarbon polymers or glass);,
0,0B,0B001.e.3.,"Electrochemical reduction cells resistant to concentrated hydrochloric acid solutions, for reduction of uranium from one valence state to another;",
0,0B,0B001.e.4.,"Electrochemical reduction cells feed equipment to take U+4 from the organic stream and, for those parts in contact with the process stream, made of or protected by suitable materials (e.g. glass, fluorocarbon polymers, polyphenyl sulphate, polyether sulfone and resin-impregnated graphite);",
0,0B,0B001.e.5.,"Feed preparation systems for producing high purity uranium chloride solution consisting of dissolution, solvent extraction and/or ion exchange equipment for purification and electrolytic cells for reducing the uranium U+6 or U+4 to U+3;",
0,0B,0B001.e.6.,Uranium oxidation systems for oxidation of U+3 to U+4;,
0,0B,0B001.f.,"Equipment and components, specially designed or prepared for ion-exchange separation process, as follows:",
0,0B,0B001.f.1.,"Fast reacting ion-exchange resins, pellicular or porous macro-reticulated resins in which the active chemical exchange groups are limited to a coating on the surface of an inactive porous support structure, and other composite structures in any suitable form, including particles or fibres, with diameters of 0,2 mm or less, resistant to concentrated hydrochloric acid and designed to have an exchange rate half-time of less than 10 s and capable of operating at temperatures in the range of 373 K (100oC) to 473 K (200oC);",
0,0B,0B001.f.2.,"Ion exchange columns (cylindrical) with a diameter greater than 1 000 mm, made of or protected by materials resistant to concentrated hydrochloric acid (e.g. titanium or fluorocarbon plastics) and capable of operating at temperatures in the range of 373 K (100oC) to 473 K (200oC) and pressures above 0,7 MPa;",
0,0B,0B001.f.3.,Ion exchange reflux systems (chemical or electrochemical oxidation or reduction systems) for regeneration of the chemical reducing or oxidizing agents used in ion exchange enrichment cascades;,
0,0B,0B001.g.,"Equipment and components, specially designed or prepared for laser-based separation processes using atomic vapour laser isotope separation, as follows:",
0,0B,0B001.g.1.,Uranium metal vaporization systems designed to achieve a delivered power of 1 kW or more on the target for use in laser enrichment;,
0,0B,0B001.g.2.,"Liquid or vapour uranium metal handling systems specially designed or prepared for handling molten uranium, molten uranium alloys or uranium metal vapour for use in laser enrichment, and specially designed components therefor;",
0,0B,0B001.g.2.,,SEE ALSO 2A225.
0,0B,0B001.g.3.,"Product and tails collector assemblies for collecting uranium metal in liquid or solid form, made of or protected by materials resistant to the heat and corrosion of uranium metal vapour or liquid, such as yttria-coated graphite or tantalum;",
0,0B,0B001.g.4.,"Separator module housings (cylindrical or rectangular vessels) for containing the uranium metal vapour source, the electron beam gun and the product and tails collectors;",
0,0B,0B001.g.5.,"""Lasers"" or ""laser"" systems specially designed or prepared for the separation of uranium isotopes with a spectrum frequency stabilisation for operation over extended periods of time;",
0,0B,0B001.g.5.,,SEE ALSO 6A005 AND 6A205.
0,0B,0B001.h.,"Equipment and components, specially designed or prepared for laser-based separation processes using molecular laser isotope separation, as follows:",
0,0B,0B001.h.1.,"Supersonic expansion nozzles for cooling mixtures of UF6 and carrier gas to 150 K (-123oC) or less and made from ""materials resistant to corrosion by UF6"";",
0,0B,0B001.h.2.,"Product or tails collector components or devices specially designed or prepared for collecting uranium material or uranium tails material following illumination with laser light, made of ""materials resistant to corrosion by UF6"";",
0,0B,0B001.h.3.,"Compressors made of or protected by ""materials resistant to corrosion by UF6"", and rotary shaft seals therefor;",
0,0B,0B001.h.4.,Equipment for fluorinating UF5 (solid) to UF6 (gas);,
0,0B,0B001.h.5.,"Process systems for separating UF6 from carrier gas (e.g. nitrogen, argon or other gas) including:",
0,0B,0B001.h.5.a.,Cryogenic heat exchangers and cryoseparators capable of temperatures of 153 K (-120oC) or less;,
0,0B,0B001.h.5.b.,Cryogenic refrigeration units capable of temperatures of 153 K (-120oC) or less;,
0,0B,0B001.h.5.c.,UF6 cold traps capable of freezing out UF6;,
0,0B,0B001.h.6.,"""Lasers"" or ""laser"" systems specially designed or prepared for the separation of uranium isotopes with a spectrum frequency stabilisation for operation over extended periods of time;",
0,0B,0B001.h.6.,,SEE ALSO 6A005 AND 6A205.
0,0B,0B001.i.,"Equipment and components, specially designed or prepared for plasma separation process, as follows:",
0,0B,0B001.i.1.,"Microwave power sources and antennae for producing or accelerating ions, with an output frequency greater than 30 GHz and mean power output greater than 50 kW;",
0,0B,0B001.i.2.,Radio frequency ion excitation coils for frequencies of more than 100 kHz and capable of handling more than 40 kW mean power;,
0,0B,0B001.i.3.,Uranium plasma generation systems;,
0,0B,0B001.i.4.,Not used;,
0,0B,0B001.i.5.,"Product and tails collector assemblies for uranium metal in solid form, made of or protected by materials resistant to the heat and corrosion of uranium vapour such as yttria-coated graphite or tantalum;",
0,0B,0B001.i.6.,"Separator module housings (cylindrical) for containing the uranium plasma source, radio-frequency drive coil and the product and tails collectors and made of a suitable non-magnetic material (e.g. stainless steel);",
0,0B,0B001.j.,"Equipment and components, specially designed or prepared for electromagnetic separation process, as follows:",
0,0B,0B001.j.1.,"Ion sources, single or multiple, consisting of a vapour source, ioniser, and beam accelerator made of suitable non-magnetic materials (e.g. graphite, stainless steel, or copper) and capable of providing a total ion beam current of 50 mA or greater;",
0,0B,0B001.j.2.,"Ion collector plates for collection of enriched or depleted uranium ion beams, consisting of two or more slits and pockets and made of suitable non-magnetic materials (e.g. graphite or stainless steel);",
0,0B,0B001.j.3.,"Vacuum housings for uranium electromagnetic separators made of non-magnetic materials (e.g. stainless steel) and designed to operate at pressures of 0,1 Pa or lower;",
0,0B,0B001.j.4.,Magnet pole pieces with a diameter greater than 2 m;,
0,0B,0B001.j.5.,"High voltage power supplies for ion sources, having all of the following characteristics:",
0,0B,0B001.j.5.a.,Capable of continuous operation;,
0,0B,0B001.j.5.b.,Output voltage of 20 000 V or greater;,
0,0B,0B001.j.5.c.,Output current of 1 A or greater; and,
0,0B,0B001.j.5.d.,"Voltage regulation of better than 0,01% over a period of 8 hours;",
0,0B,0B001.j.5.d.,,SEE ALSO 3A227.
0,0B,0B001.j.6.,"Magnet power supplies (high power, direct current) having all of the following characteristics:",
0,0B,0B001.j.6.a.,Capable of continuous operation with a current output of 500 A or greater at a voltage of 100 V or greater; and,
0,0B,0B001.j.6.b.,"Current or voltage regulation better than 0,01% over a period of 8 hours.",
0,0B,0B001.j.6.b.,,SEE ALSO 3A226.
0,0B,0B002,"Specially designed or prepared auxiliary systems, equipment and components as follows, for isotope separation plant specified in 0B001, made of or protected by ""materials resistant to corrosion by UF6"":",
0,0B,0B002.a.,"Feed autoclaves, ovens or systems used for passing UF6 to the enrichment process;",
0,0B,0B002.b.,"Desublimers or cold traps, used to remove UF6 from the enrichment process for subsequent transfer upon heating;",
0,0B,0B002.c.,Product and tails stations for transferring UF6 into containers;,
0,0B,0B002.d.,"Liquefaction or solidification stations used to remove UF6 from the enrichment process by compressing, cooling and converting UF6 to a liquid or solid form;",
0,0B,0B002.e.,"Piping systems and header systems specially designed or prepared for handling UF6 within gaseous diffusion, centrifuge or aerodynamic cascades;",
0,0B,0B002.f.,Vacuum systems and pumps as follows:,
0,0B,0B002.f.1.,"Vacuum manifolds, vacuum headers or vacuum pumps having a suction capacity of 5 m3/minute or more;",
0,0B,0B002.f.2.,"Vacuum pumps specially designed for use in UF6 bearing atmospheres made of, or protected by, ""materials resistant to corrosion by UF6""; or",
0,0B,0B002.f.3.,"Vacuum systems consisting of vacuum manifolds, vacuum headers and vacuum pumps, and designed for service in UF6-bearing atmospheres;",
0,0B,0B002.g.,UF6 mass spectrometers/ion sources capable of taking on-line samples from UF6 gas streams and having all of the following characteristics:,
0,0B,0B002.g.1.,Capable of measuring ions of 320 atomic mass units or greater and having a resolution of better than 1 part in 320;,
0,0B,0B002.g.2.,"Ion sources constructed of or protected by nickel, nickel-copper alloys with a nickel content of 60% or more by weight, or nickel-chrome alloys;",
0,0B,0B002.g.3.,Electron bombardment ionisation sources; and,
0,0B,0B002.g.4.,Having a collector system suitable for isotopic analysis.,
0,0B,0B003,"Plant for the conversion of uranium and equipment specially designed or prepared therefor, as follows:",
0,0B,0B003.a.,Systems for the conversion of uranium ore concentrates to UO3;,
0,0B,0B003.b.,Systems for the conversion of UO3 to UF6;,
0,0B,0B003.c.,Systems for the conversion of UO3 to UO2;,
0,0B,0B003.d.,Systems for the conversion of UO2 to UF4;,
0,0B,0B003.e.,Systems for the conversion of UF4 to UF6;,
0,0B,0B003.f.,Systems for the conversion of UF4 to uranium metal;,
0,0B,0B003.g.,Systems for the conversion of UF6 to UO2;,
0,0B,0B003.h.,Systems for the conversion of UF6 to UF4;,
0,0B,0B003.i.,Systems for the conversion of UO2 to UCl4.,
0,0B,0B004,"Plant for the production or concentration of heavy water, deuterium and deuterium compounds and specially designed or prepared equipment and components therefor, as follows:",
0,0B,0B004.a.,"Plant for the production of heavy water, deuterium or deuterium compounds, as follows:",
0,0B,0B004.a.1.,Water-hydrogen sulphide exchange plants;,
0,0B,0B004.a.2.,Ammonia-hydrogen exchange plants;,
0,0B,0B004.b.,"Equipment and components, as follows:",
0,0B,0B004.b.1.,"Water-hydrogen sulphide exchange towers with diameters of 1,5 m or more, capable of operating at pressures greater than or equal to 2 MPa;",
0,0B,0B004.b.2.,"Single stage, low head (i.e., 0,2 MPa) centrifugal blowers or compressors for hydrogen sulphide gas circulation (i.e., gas containing more than 70% by weight hydrogen sulphide, H2S) with a throughput capacity greater than or equal to 56 m3/s when operating at pressures greater than or equal to 1,8 MPa suction and having seals designed for wet H2S service;",
0,0B,0B004.b.3.,"Ammonia-hydrogen exchange towers greater than or equal to 35 m in height with diameters of 1,5 m to 2,5 m capable of operating at pressures greater than 15 MPa;",
0,0B,0B004.b.4.,"Tower internals, including stage contactors, and stage pumps, including those which are submersible, for heavy water production utilizing the ammonia-hydrogen exchange process;",
0,0B,0B004.b.5.,Ammonia crackers with operating pressures greater than or equal to 3 MPa for heavy water production utilizing the ammonia-hydrogen exchange process;,
0,0B,0B004.b.6.,Infrared absorption analysers capable of on-line hydrogen/deuterium ratio analysis where deuterium concentrations are equal to or greater than 90% by weight;,
0,0B,0B004.b.7.,Catalytic burners for the conversion of enriched deuterium gas into heavy water utilizing the ammonia-hydrogen exchange process;,
0,0B,0B004.b.8.,"Complete heavy water upgrade systems, or columns therefor, for the upgrade of heavy water to reactor-grade deuterium concentration;",
0,0B,0B004.b.9.,Ammonia synthesis converters or synthesis units specially designed or prepared for heavy water production utilizing the ammonia-hydrogen exchange process.,
0,0B,0B005,"Plant specially designed for the fabrication of ""nuclear reactor"" fuel elements and specially designed or prepared equipment therefor.",
0,0B,0B005.1.,Normally comes into direct contact with or directly processes or controls the production flow of nuclear materials;,
0,0B,0B005.2.,Seals the nuclear materials within the cladding;,
0,0B,0B005.3.,Checks the integrity of the cladding or the seal;,
0,0B,0B005.4.,Checks the finish treatment of the sealed fuel; or,
0,0B,0B005.5.,Is used for assembling reactor elements.,
0,0B,0B006,"Plant for the reprocessing of irradiated ""nuclear reactor"" fuel elements, and specially designed or prepared equipment and components therefor.",
0,0B,0B006,,"0B006 includes:







a.



Plant for the reprocessing of irradiated nuclear reactor fuel elements including equipment and components which normally come into direct contact with and directly control the irradiated fuel and the major nuclear material and fission product processing streams











b.



Fuel element decladding equipment and chopping or shredding machines, i.e., remotely operated equipment to cut, chop or shear irradiated nuclear reactor fuel assemblies, bundles or rods











c.



Dissolver vessels or dissolvers employing mechanical devices specially designed or prepared for the dissolution of irradiated nuclear reactor fuel, which are capable of withstanding hot, highly corrosive liquids, and which can be remotely loaded, operated and maintained











d.



Solvent extractors, such as packed or pulsed columns, mixer settlers or centrifugal contractors, resistant to the corrosive effects of nitric acid and specially designed or prepared for use in a plant for the reprocessing of irradiated natural uranium, depleted uranium or special fissile materials











e.



Holding or storage vessels specially designed to be critically safe and resistant to the corrosive effects of nitric acid



Technical Note:



Holding or storage vessels may have the following features:







1.



Walls or internal structures with a boron equivalent (calculated for all constituent elements as defined in the note to 0C004)
of at least two per cent











2.



A maximum diameter of 175 mm for cylindrical vessels or












3.



A maximum width of 75 mm for either a slab or annular vessel.















f.



Neutron measurement systems specially designed or prepared for integration and use with automated process control systems in a plant for the reprocessing of irradiated natural uranium, depleted uranium or special fissile materials."
0,0B,0B006,,"'Holding or storage vessels may have the following features:', '1.Walls or internal structures with a boron equivalent (calculated for all constituent elements as defined in the note to 0C004)of at least two per cent;', '2.A maximum diameter of 175 mm for cylindrical vessels; or', '3.A maximum width of 75 mm for either a slab or annular vessel.'"
0,0B,0B006.Note:a.,"Plant for the reprocessing of irradiated ""nuclear reactor"" fuel elements including equipment and components which normally come into direct contact with and directly control the irradiated fuel and the major nuclear material and fission product processing streams;",
0,0B,0B006.Note:b.,"Fuel element decladding equipment and chopping or shredding machines, i.e., remotely operated equipment to cut, chop or shear irradiated ""nuclear reactor"" fuel assemblies, bundles or rods;",
0,0B,0B006.Note:c.,"Dissolver vessels or dissolvers employing mechanical devices specially designed or prepared for the dissolution of irradiated ""nuclear reactor"" fuel, which are capable of withstanding hot, highly corrosive liquids, and which can be remotely loaded, operated and maintained;",
0,0B,0B006.Note:d.,"Solvent extractors, such as packed or pulsed columns, mixer settlers or centrifugal contractors, resistant to the corrosive effects of nitric acid and specially designed or prepared for use in a plant for the reprocessing of irradiated ""natural uranium"", ""depleted uranium"" or ""special fissile materials"";",
0,0B,0B006.Note:d.,,"'Holding or storage vessels may have the following features:', '1.Walls or internal structures with a boron equivalent (calculated for all constituent elements as defined in the note to 0C004)of at least two per cent;', '2.A maximum diameter of 175 mm for cylindrical vessels; or', '3.A maximum width of 75 mm for either a slab or annular vessel.'"
0,0B,0B006.Note:e.1.,"Walls or internal structures with a boron equivalent (calculated for all constituent elements as defined in the note to 0C004)
of at least two per cent;",
0,0B,0B006.Note:e.2.,A maximum diameter of 175 mm for cylindrical vessels; or,
0,0B,0B006.Note:e.3.,A maximum width of 75 mm for either a slab or annular vessel.,
0,0B,0B006.Note:f.,"Neutron measurement systems specially designed or prepared for integration and use with automated process control systems in a plant for the reprocessing of irradiated ""natural uranium"", ""depleted uranium"" or ""special fissile materials"".",
0,0B,0B007,"Plant for the conversion of plutonium and equipment specially designed or prepared therefor, as follows:",
0,0B,0B007.a.,Systems for the conversion of plutonium nitrate to oxide;,
0,0B,0B007.b.,Systems for plutonium metal production.,
0,0C,0C001,"""Natural uranium"" or ""depleted uranium"" or thorium in the form of metal, alloy, chemical compound or concentrate and any other material containing one or more of the foregoing;",
0,0C,0C001,,"0C001 does not control the following:







a.



Four grammes or less of natural uranium or depleted uranium when contained in a sensing component in instruments











b.



Depleted uranium specially fabricated for the following civil non-nuclear applications:







1.



Shielding











2.



Packaging











3.



Ballasts having a mass not greater than 100 kg











4.



Counter-weights having a mass not greater than 100 kg















c.



Alloys containing less than 5% thorium











d.



Ceramic products containing thorium, which have been manufactured for non-nuclear use."
0,0C,0C001.Note:a.,"Four grammes or less of ""natural uranium"" or ""depleted uranium"" when contained in a sensing component in instruments;",
0,0C,0C001.Note:b.,"""Depleted uranium"" specially fabricated for the following civil non-nuclear applications:",
0,0C,0C001.Note:b.1.,Shielding;,
0,0C,0C001.Note:b.2.,Packaging;,
0,0C,0C001.Note:b.3.,Ballasts having a mass not greater than 100 kg;,
0,0C,0C001.Note:b.4.,Counter-weights having a mass not greater than 100 kg;,
0,0C,0C001.Note:c.,Alloys containing less than 5% thorium;,
0,0C,0C001.Note:d.,"Ceramic products containing thorium, which have been manufactured for non-nuclear use.",
0,0C,0C002,"""Special fissile materials""",
0,0C,0C002,,0C002 does not control four effective grammes or less when contained in a sensing component in instruments.
0,0C,0C003,"Deuterium, heavy water (deuterium oxide) and other compounds of deuterium, and mixtures and solutions containing deuterium, in which the isotopic ratio of deuterium to hydrogen exceeds 1:5 000.",
0,0C,0C004,"Graphite having a purity level better than 5 parts per million 'boron equivalent' and with a density greater than 1,50 g/cm3 for use in a ""nuclear reactor"", in quantities exceeding 1 kg.",
0,0C,0C004,,SEE ALSO 1C107.
0,0C,0C004,,"For the purpose of export control, the competent authorities of the EU Member State in which the exporter is established will determine whether or not the exports of graphite meeting the above specifications are for nuclear reactor use. 0C004 does not control graphite having a purity level better than 5 ppm (parts per million) boron equivalent and with a density greater than 1,50 g/cm3 not for use in a nuclear reactor."
0,0C,0C004,,"In 0C004, 'boron equivalent' (BE) is defined as the sum of BEz for impurities (excluding BEcarbon since carbon is not considered an impurity) including boron, where:







 



BEZ (ppm) = CF x concentration of element Z in ppm











 















 



and σ
B and σ
Z are the thermal neutron capture cross sections (in barns) for naturally occurring boron and element Z respectively and AB and AZ are the atomic masses of naturally occurring boron and element Z respectively."
0,0C,0C004.Note 2:,BEZ (ppm) = CF x concentration of element Z in ppm;,
0,0C,0C004.Note 2:,,
